drug_id,drug_seq
5347,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1NC1=CC=CC(=C1)S(=O)(=O)NC(C)(C)C
5388,CN1C=NC2=C(F)C(NC3=CC=C(Br)C=C3Cl)=C(C=C12)C(=O)NOCCO
5507,C(CN1CCCC1)OC1=CC=C2C=C1COC\C=C\COCC1=CC=CC(=C1)C1=CC=N\C(N1)=N\2
8167,O=C1NC(=N/C/1=C\c1ccc2c(c1)OCO2)Nc1ccccc1
2921,CCCCCCCCCCCCCCC[C@H]([C@H](COP(=O)(O)O)N)O
5512,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(O)O
8949,Clc1cc2c(nnc(c2cc1Cl)NC1CCCC1)c1ccncc1
8118,CNC(=O)Nc1ncc(s1)c1nc(nc(c1)c1c(C)cc(cc1C)OC(CC)CC)c1nccnc1
8117,CCNC(=O)Nc1ncc(s1)c1cc(nc(n1)c1cnccn1)c1c(C)cc(cc1C)OC
8119,COc1cc(Cl)c(c(c1)Cl)c1cc(nc(n1)c1cnccn1)c1cnc(s1)NC(=O)C
CHEMBL1965660,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccc(Cl)cc1Cl
CHEMBL1981079,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccc(Cl)cc1F
CHEMBL1738757,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc4ncccc4c3)c(F)c2)ccn1
CHEMBL3991933,Cc1nc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2o1
CHEMBL4592844,C#CCSc1nc(Sc2nccs2)c(C#N)c(-c2ccc(C)cc2)n1
CHEMBL4865016,c1ccc(-c2ccccc2-c2nnc(SSc3nnc(-c4ccccc4-c4ccccc4)[nH]3)[nH]2)cc1
CHEMBL3991935,CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H]1CO.Cl
CHEMBL482767,O=C(Nc1cccc(Cl)c1)Nc1ncc(CCN=c2[nH]cnc3ccsc23)s1
CHEMBL4212386,CCCCC[C@@H](C(=O)NCNC(=O)c1ccc(-c2ccc(C(=O)N[C@@H](CC(=O)O)C(=O)O)c(OCC)c2)o1)[C@@H](CC)N(O)C=O
CHEMBL4214046,CCCCC[C@@H](C(=O)NCNC(=O)c1ccc(-c2cc(OCC)cc(P(=O)(O)O)c2)o1)[C@@H](CC)N(O)C=O
CHEMBL4207308,CCCCC[C@@H](C(=O)NCNC(=O)c1ccc(-c2ccccc2)o1)[C@@H](CC)N(O)C=O
CHEMBL1944698,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1
CHEMBL475251,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC
CHEMBL3991929,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1.Cl
CHEMBL3545137,Cn1cc(C2=Nc3cc(NC(=O)C(N)C4CCCCC4)cc4c3C2=CNNC4=O)cn1
CHEMBL1078178,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1
CHEMBL482967,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1
CHEMBL3545328,O=C(Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)C1CCCN1
CHEMBL1983111,CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12
CHEMBL3301622,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1
CHEMBL1667969,O=c1[nH]ccc2cc(OC3CCNCC3)ccc12
CHEMBL281948,COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL3545083,COCCN1CCN(Cc2ccc(-c3n[nH]c4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)cc2)CC1
CHEMBL495727,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1
CHEMBL2035187,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1
CHEMBL2105759,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1
CHEMBL3544966,O=C1NC(=O)/C(=C/c2ccc3nccc(-c4ccncc4)c3c2)S1
CHEMBL603469,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O
CHEMBL3301610,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1
CHEMBL522892,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1
CHEMBL571948,C[C@@H](N)c1ccc(C(=O)Nc2ccnc3[nH]ccc23)cc1
CHEMBL2041933,NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1
CHEMBL3688339,CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1
CHEMBL1789941,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1
CHEMBL3545085,CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1
CHEMBL1287853,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1
CHEMBL1908397,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1
CHEMBL608533,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
CHEMBL3544964,Cn1nccc1Nc1nccc(-c2ccn([C@H](CO)c3ccc(Cl)c(F)c3)c(=O)c2)n1
CHEMBL572878,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1
CHEMBL1614701,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21
CHEMBL3545360,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncnc(Nc2ccccc2S(=O)(=O)C(C)C)n1
CHEMBL2180604,Cc1cc(C(=O)Nc2cc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)ccc2C)n(C)n1
CHEMBL1721885,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1
CHEMBL574737,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O
CHEMBL4787034,N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)Cc1ccc(O)cc1)C(N)=O
CHEMBL4089522,NC(=O)c1cccc(NC(=O)/C=C\C(=O)N2CCN(c3ccc(F)cc3)CC2)c1
CHEMBL434,CC(C)NCC(O)c1ccc(O)c(O)c1
CHEMBL1094636,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12
CHEMBL372303,CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1
CHEMBL4451634,CC1(C)C(N)=Nc2cc(OCCCN3Cc4ccc(OCCc5cn(CC(=O)N6CCC(CCN7CCCC7)CC6)nn5)cc4C3)c(OCC3CC3)cc21
CHEMBL4552020,COc1c(CN)cc(CN)cc1OCCCN1Cc2ccccc2C1
CHEMBL4878726,N#Cc1cc(COc2ccc(C(F)(F)F)cc2Cl)cc(C(=O)O)c1
CHEMBL4874540,Clc1ccc(OCc2cccc(-c3nnn[nH]3)c2)c(Cl)c1Cl
CHEMBL4850889,O=C(O)c1cccc(COc2ccc(Cl)cc2C(F)(F)F)n1
CHEMBL4855031,O=C(O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1F
CHEMBL4848977,N#Cc1cc(COc2ccc(Cl)cc2Cl)cc(C(=O)O)c1
CHEMBL4867400,O=C(O)c1cccc(COc2ccc(Cl)c(Cl)c2Cl)c1
CHEMBL4858820,CCc1cc(COc2ccc(C(F)(F)F)cc2Cl)nc(C(=O)O)c1
CHEMBL4871722,O=C(O)c1cc(F)cc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4852609,Cc1cc(C(F)(F)F)ccc1OCc1cccc(C(=O)O)c1F
CHEMBL4875180,O=C(O)c1cc(COc2ccc(C(F)(F)F)cc2Cl)ccc1F
CHEMBL4875642,Cc1cc(COc2ccc(C(F)(F)F)cc2Cl)cc(C(=O)O)c1
CHEMBL4859372,O=C(O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4877820,O=C(O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)n1
CHEMBL4870947,Cc1cc(C(F)(F)F)ccc1OCc1cc(C#N)cc(C(=O)O)c1
CHEMBL4856731,Cc1cc(COc2ccc(C(F)(F)F)cc2C)cc(C(=O)O)c1
CHEMBL4852376,O=C(O)c1cccc(COc2ccc(Cl)cc2Cl)c1F
CHEMBL4850008,O=C(O)c1cccc(COc2ccc(Cl)cc2Cl)c1
CHEMBL4873616,O=C(O)c1cccc(COc2ccc(Cl)cc2Cl)n1
CHEMBL4871892,COC(=O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4872725,COC(=O)c1cccc(COc2cccc(F)c2)c1
CHEMBL4849588,COC(=O)c1cccc(COc2ccc(Cl)cc2C)n1
CHEMBL4876586,O=C(O)c1cccc(COc2ccc3ccccc3c2)c1
CHEMBL4873423,O=C(O)c1cccc(COc2ccc(Cl)cc2)c1
CHEMBL4850633,O=C(O)c1cccc(COc2ccc(Cl)cc2C(F)(F)F)c1
CHEMBL4867744,N#Cc1ccc(OCc2cccc(C(=O)O)c2)c(Cl)c1
CHEMBL4873123,COc1ccccc1OCc1cccc(C(=O)O)c1
CHEMBL1402510,COc1ccc(OCc2cccc(C(=O)O)c2)cc1
CHEMBL4866106,COc1cccc(OCc2cccc(C(=O)O)c2)c1
CHEMBL4866428,O=C(O)c1cccc(COc2ccc(C(F)(F)F)cc2)c1
CHEMBL4864265,O=C(O)c1cccc(COc2ccc(OC(F)(F)F)cc2)c1
CHEMBL4859510,Cc1cc(Cl)ccc1OCc1cccc(C(=O)O)n1
CHEMBL4863762,N#Cc1ccc(OCc2cccc(C(=O)O)c2)c(C(F)(F)F)c1
CHEMBL4848825,N#Cc1c(Cl)cccc1OCc1cccc(C(=O)O)c1
CHEMBL4866223,O=C(O)c1cccc(COc2cccc(C(F)(F)F)c2Cl)c1
CHEMBL4859833,O=C(O)c1cccc(COc2ccc(-n3cccc3)cc2)c1
CHEMBL4879041,O=C(O)c1cc(COc2ccc(C(F)(F)F)cc2Cl)ccc1Cl
CHEMBL4866201,Cc1ccc(OCc2cccc(C(=O)O)c2)cc1F
CHEMBL4857110,N#Cc1ccc(OCc2cccc(C(=O)O)c2)cc1Cl
CHEMBL4873923,Cc1c(Cl)cccc1OCc1cccc(C(=O)O)c1
CHEMBL4859171,O=C(O)c1cccc(COc2ccc3ccsc3c2)c1
CHEMBL4868055,Cc1cc(C#N)ccc1OCc1cccc(C(=O)O)c1
CHEMBL4846114,O=C(O)c1cccc(COc2ccc(Br)cc2)c1
CHEMBL4875200,O=C(O)c1cc(F)cc(COc2ccc(OC(F)(F)F)cc2Cl)c1
CHEMBL4847374,O=C(O)c1cccc(COc2ccc(C3CC3)cc2Cl)c1
CHEMBL4846170,O=C(O)c1cccc(COc2cc3ccccc3cc2Cl)c1
CHEMBL4863225,O=C(O)c1cccc(COc2ccc3occc3c2)c1
CHEMBL4869118,O=C(O)c1cccc(COc2ccc3sccc3c2)c1
CHEMBL4872342,O=C(O)c1cccc(COc2ccc(OC(F)F)cc2)c1
CHEMBL4858920,O=C(O)c1cc(COc2ccc(C(F)(F)F)cc2Cl)ccn1
CHEMBL4849913,O=C(O)c1cccc(COc2cccc(Br)c2Cl)c1
CHEMBL4876749,Cc1cc(OCc2cccc(C(=O)O)c2)ccc1C#N
CHEMBL4859063,N#Cc1cc(Cl)c(F)cc1OCc1cccc(C(=O)O)c1
CHEMBL4869694,Cc1c(OCc2cccc(C(=O)O)c2)ccc2c1OCC2=O
CHEMBL4848369,O=C(O)c1cccc(COc2cccc(Cl)c2Cl)c1
CHEMBL4877006,Cc1cc(Cl)ccc1OCc1cccc(C(=O)O)c1
CHEMBL4862434,O=C(O)c1cccc(COc2ccc(Cl)c(Cl)c2)c1
CHEMBL4855567,O=C(O)c1cc(COc2ccc(Cl)cc2Cl)ccc1F
CHEMBL4859840,N#Cc1c(COc2ccc(Cl)cc2Cl)cccc1C(=O)O
CHEMBL4866577,Cc1c(COc2ccc(Cl)cc2Cl)cccc1C(=O)O
CHEMBL4857656,O=C(O)c1cc(COc2ccc(C(F)(F)F)c(Cl)c2)cc(C(F)(F)F)c1
CHEMBL4867604,O=C(O)c1cc(COc2ccc(C(F)(F)F)cc2Cl)cc(C(F)(F)F)c1
CHEMBL4849270,O=C(O)c1cccc(COc2ccc3sccc3c2)c1F
CHEMBL4869336,O=C(O)c1cccc(COc2ccc(-n3cccc3)cc2Cl)c1F
CHEMBL4855384,Cc1cc(-n2cccc2)ccc1OCc1cccc(C(=O)O)c1F
CHEMBL4864076,NCc1cccc(COc2ccc(Cl)cc2Cl)c1
CHEMBL1923999,O=C(O)c1cccc(CSc2ccc(Cl)cc2Cl)c1
CHEMBL4854872,N#Cc1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4866840,FC(F)(F)c1cc(Cl)ccc1OCc1cccc(-c2nnn[nH]2)c1
CHEMBL4855127,O=C(O)c1cccc(COc2ccc(C(F)F)cc2)c1
CHEMBL4865044,O=C(O)c1cccc(COc2ccc(C(F)F)cc2F)c1
CHEMBL4846676,O=C(O)c1cccc(COc2ncc(C(F)(F)F)cc2Cl)c1
CHEMBL4878337,CN(C)c1cc(COc2ccc(C(F)(F)F)cc2Cl)cc(C(=O)O)c1
CHEMBL4870727,Cc1nc(-c2cc(COc3ccc(C(F)(F)F)cc3Cl)cc(C(=O)O)c2)co1
CHEMBL4857097,NC(=O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4873967,FC(F)(F)c1ccc(OCc2cccc(-c3ncc[nH]3)c2)c(Cl)c1
CHEMBL4861940,O=C(NCc1ccccc1)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4857124,O=C(NCS(=O)(=O)O)c1ccc(COc2ccc(C(F)(F)F)cc2Cl)cc1
CHEMBL4875343,O=C(NCCS(=O)(=O)O)c1ccc(COc2ccc(C(F)(F)F)cc2Cl)cc1
CHEMBL4846959,N#CCNC(=O)c1ccc(COc2ccc(C(F)(F)F)cc2Cl)cc1
CHEMBL4868255,CCCCNC(=O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4873773,CC(C)NC(=O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4877244,CCNC(=O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4860115,O=C(Nc1ccccc1)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4870998,O=C(NCCCO)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4871418,O=C(NCCO)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4847181,CS(=O)(=O)NC(=O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4848664,NC(=O)CNC(=O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4877261,O=C(NC1CCCC1)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4878428,O=C(NC1CCC1)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4872055,CNC(=O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CHEMBL4859266,CC(C)[C@H](NC(=O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1)C(=O)O
CHEMBL4851715,CC(C)(NC(=O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1)C(=O)O
CHEMBL4869352,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
